id,name,type,education,committee,position,representation,age
Thomas,Thomas Hitzslberger,1,1,1,1,4,1
Tobias,Tobias Keller,1,2,1,3,"3,5",1
Oliver,Oliver Schraft,1,2,1,3,5,3
Claus,Claus Vogt,1,2,2,1,"2, 1",3
Wilfried,Wilfried Porth,1,2,2,2,2,4
Rainer,Rainer Adrion,1,2,2,3,3,4
Hartmut,Hartmut Jenner,1,2,2,3,2,3
Franz,Franz Reiner,1,2,2,2,2,3
Bertram,Dr. Bertram Sugg,1,3,2,3,1,3
VfBAG,VfB Stuttgart 1893 AG,2,n/a,n/a,n/a,n/a,n/a
VfBeV,VfB Stuttgart 1893 e.V.,2,n/a,n/a,n/a,n/a,n/a
Daimler,Daimler AG & Tochtergesellschaften,2,n/a,n/a,n/a,n/a,n/a
Bosch,Robert Bosch GmbH,2,n/a,n/a,n/a,n/a,n/a
Magnus,Bundesstiftung Magnus Hirschfeld,2,n/a,n/a,n/a,n/a,n/a
Akademie,Deutsche Akademie fuer Fussball-Kultur,2,n/a,n/a,n/a,n/a,n/a
Kommission,Kommission Clubmedien des DFL,2,n/a,n/a,n/a,n/a,n/a
Fair,Verein FC PlayFair!,2,n/a,n/a,n/a,n/a,n/a
Intesia,Intesia Group Holding GmbH,2,n/a,n/a,n/a,n/a,n/a
Hanns,Hanns Martin Schleyer-Stiftung,2,n/a,n/a,n/a,n/a,n/a
SWM,Suedwestmetall,2,n/a,n/a,n/a,n/a,n/a
Kaercher,Alfred Kaercher SE & Co. KG.,2,n/a,n/a,n/a,n/a,n/a
Gerlingen,Fanclub Courage Gerlingen,2,n/a,n/a,n/a,n/a,n/a
11hilft,11hilft e. V.,2,n/a,n/a,n/a,n/a,n/a
Nachwuchs,Nachwuchsleistungszentrum,2,n/a,n/a,n/a,n/a,n/a
